,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Time
0,ushuaia,ar,42.8,70.0,75.0,12.75,-54.81,-68.31,1563056885.0
2,hermanus,za,55.99,91.0,0.0,5.01,-34.42,19.24,1563056888.0
3,kapaa,us,84.2,70.0,75.0,14.99,22.08,-159.32,1563056651.0
4,zhuanghe,cn,64.82,87.0,40.0,3.15,39.7,122.97,1563056848.0
5,port alfred,za,55.0,93.0,0.0,4.0,-33.59,26.89,1563056892.0
7,cape town,za,53.01,100.0,0.0,4.7,-33.93,18.42,1563056895.0
8,rikitea,pf,74.72,84.0,0.0,13.09,-23.12,-134.97,1563056897.0
9,klaksvik,fo,50.0,100.0,100.0,12.75,62.23,-6.59,1563056898.0
10,college,us,73.4,64.0,1.0,4.7,64.86,-147.8,1563056900.0
11,kilindoni,tz,78.5,79.0,9.0,19.86,-7.91,39.67,1563056901.0
12,saskylakh,ru,49.88,57.0,0.0,3.85,71.97,114.09,1563056903.0
14,busselton,au,43.0,74.0,0.0,20.0,-33.64,115.35,1563056906.0
15,nanortalik,gl,45.02,79.0,14.0,7.81,60.14,-45.24,1563056907.0
16,faanui,pf,78.14,72.0,0.0,3.31,-16.48,-151.75,1563056909.0
17,mar del plata,ar,47.0,53.0,60.0,14.45,-46.43,-67.52,1563056910.0
18,hobart,au,48.2,66.0,75.0,12.75,-42.88,147.33,1563056796.0
19,avarua,ck,69.8,83.0,100.0,2.24,-21.21,-159.78,1563056867.0
20,bethel,us,62.6,67.0,75.0,9.17,60.79,-161.76,1563056915.0
21,qaanaaq,gl,45.74,61.0,100.0,9.91,77.48,-69.36,1563056916.0
22,puerto ayacucho,ve,82.4,78.0,40.0,5.93,5.66,-67.62,1563056918.0
23,thompson,ca,73.4,60.0,90.0,9.17,55.74,-97.86,1563056919.0
24,bambous virieux,mu,71.6,53.0,75.0,11.41,-20.34,57.76,1563056921.0
25,butaritari,ki,83.9,62.0,100.0,6.46,3.07,172.79,1563056922.0
26,chuguyevka,ru,61.22,94.0,100.0,1.66,44.17,133.87,1563056924.0
27,tecoanapa,mx,87.8,70.0,75.0,4.7,16.99,-99.26,1563056925.0
28,samus,ru,64.0,87.0,0.0,2.24,56.74,84.7,1563056927.0
30,tiznit,ma,68.42,88.0,0.0,12.33,29.7,-9.73,1563056724.0
31,tasiilaq,gl,37.4,93.0,40.0,8.05,65.61,-37.64,1563056931.0
32,iqaluit,ca,51.8,71.0,20.0,12.75,63.75,-68.52,1563056933.0
33,ponta do sol,cv,75.2,73.0,20.0,18.34,17.2,-25.09,1563056934.0
34,cherskiy,ru,45.92,72.0,91.0,15.82,68.75,161.3,1563056936.0
35,puerto ayora,ec,80.6,51.0,40.0,12.75,-0.74,-90.35,1563056937.0
36,newport,us,84.99,61.0,1.0,8.05,41.49,-71.31,1563056939.0
38,bonnyville,ca,75.2,50.0,75.0,5.82,54.27,-110.74,1563056941.0
39,batouri,cm,69.32,94.0,100.0,1.05,4.44,14.36,1563056943.0
40,shaowu,cn,70.76,98.0,100.0,1.61,27.34,117.49,1563056945.0
41,ossora,ru,68.06,53.0,0.0,2.13,59.24,163.07,1563056946.0
42,buraydah,sa,87.8,22.0,0.0,6.93,26.33,43.97,1563056948.0
43,hilo,us,84.2,58.0,20.0,13.87,19.71,-155.08,1563056949.0
44,ribeira grande,pt,71.66,82.0,69.0,6.38,38.52,-28.7,1563056951.0
45,agira,it,80.01,69.0,5.0,4.7,37.66,14.52,1563056953.0
46,hamilton,bm,82.99,78.0,20.0,12.75,32.3,-64.78,1563056954.0
47,miranda de ebro,es,71.01,82.0,40.0,4.7,42.69,-2.95,1563056956.0
48,cairns,au,62.6,77.0,61.0,10.29,-16.92,145.77,1563056658.0
50,barrow,us,90.0,58.0,1.0,5.82,39.51,-90.4,1563056960.0
52,bredasdorp,za,55.99,87.0,0.0,3.27,-34.53,20.04,1563056940.0
53,oudtshoorn,za,48.2,100.0,0.0,1.12,-33.59,22.2,1563056965.0
54,pinega,ru,47.36,90.0,80.0,3.0,64.7,43.39,1563056966.0
55,pangnirtung,ca,56.9,38.0,94.0,5.77,66.15,-65.72,1563056968.0
57,kodiak,us,93.0,58.0,1.0,5.82,39.95,-94.76,1563056971.0
58,srednekolymsk,ru,66.98,57.0,27.0,14.99,67.46,153.71,1563056972.0
59,longyearbyen,sj,37.4,93.0,75.0,16.11,78.22,15.64,1563056974.0
60,mengcheng,cn,71.66,82.0,0.0,5.17,33.26,116.57,1563056975.0
62,georgetown,sh,74.54,67.0,0.0,16.51,-7.93,-14.42,1563056978.0
63,east london,za,53.84,88.0,0.0,3.2,-33.02,27.91,1563056979.0
64,salalah,om,78.8,94.0,90.0,8.05,17.01,54.1,1563056981.0
65,talnakh,ru,50.0,100.0,90.0,6.71,69.49,88.39,1563056982.0
66,bonthe,sl,74.9,93.0,100.0,9.84,7.53,-12.5,1563056984.0
68,rivadavia,ar,49.52,32.0,0.0,0.98,-31.53,-68.59,1563056987.0
69,kurgunta,in,75.98,86.0,100.0,7.83,17.2,77.35,1563056988.0
70,kaitangata,nz,48.99,74.0,100.0,5.01,-46.28,169.85,1563056990.0
72,mingshui,cn,79.58,86.0,100.0,8.1,22.81,109.89,1563056993.0
74,negombo,lk,78.8,83.0,40.0,3.36,7.21,79.83,1563056996.0
75,bluff,nz,46.0,97.0,100.0,8.99,-46.6,168.33,1563056997.0
76,saint-philippe,re,66.2,55.0,90.0,9.17,-21.36,55.77,1563056999.0
77,punta arenas,cl,41.0,93.0,90.0,6.93,-53.16,-70.91,1563056924.0
78,atuona,pf,80.87,76.0,2.0,19.19,-9.8,-139.03,1563057002.0
79,bandundu,cd,75.11,67.0,40.0,1.32,-3.32,17.38,1563057004.0
80,abu kamal,sy,75.83,37.0,0.0,17.72,34.45,40.92,1563057005.0
81,ostrovnoy,ru,40.19,96.0,91.0,5.55,68.05,39.51,1563057007.0
82,esperance,au,41.0,93.0,92.0,6.93,-33.86,121.89,1563057008.0
83,alice springs,au,35.6,67.0,0.0,5.82,-23.7,133.88,1563056713.0
85,presidencia roque saenz pena,ar,65.21,86.0,100.0,5.64,-26.79,-60.44,1563057013.0
86,hithadhoo,mv,83.39,75.0,10.0,11.32,-0.6,73.08,1563057015.0
87,chuy,uy,52.22,85.0,45.0,10.31,-33.69,-53.46,1563056730.0
88,cockburn town,bs,82.31,80.0,1.0,15.14,24.03,-74.52,1563057018.0
89,ixtapa,mx,89.01,66.0,75.0,13.87,20.71,-105.21,1563057019.0
90,santa vitoria do palmar,br,54.02,87.0,64.0,4.07,-33.52,-53.37,1563056955.0
92,balkanabat,tm,82.1,61.0,33.0,11.83,39.51,54.36,1563057000.0
93,cabedelo,br,77.0,88.0,0.0,4.7,-6.97,-34.84,1563057025.0
94,puerto el triunfo,sv,89.6,62.0,20.0,6.93,13.27,-88.55,1563057026.0
96,la ronge,ca,66.2,72.0,75.0,5.82,55.1,-105.3,1563057029.0
97,kushiro,jp,60.8,100.0,75.0,4.7,43.11,144.15,1563057031.0
98,jamestown,sh,69.53,67.0,100.0,14.14,-15.94,-5.72,1563057032.0
99,cidreira,br,56.93,94.0,100.0,8.21,-30.17,-50.22,1563057034.0
100,hambantota,lk,77.0,100.0,0.0,5.82,6.12,81.12,1563056982.0
101,aswan,eg,93.2,20.0,0.0,8.05,24.09,32.9,1563057037.0
102,mackay,au,69.01,59.0,79.0,10.29,-21.15,149.2,1563057038.0
103,torbay,ca,59.0,77.0,90.0,9.17,47.66,-52.73,1563057040.0
104,lagoa,pt,71.6,78.0,0.0,11.41,37.14,-8.45,1563056873.0
105,leh,in,37.85,67.0,25.0,1.52,34.16,77.58,1563057043.0
106,chokurdakh,ru,53.15,54.0,94.0,3.49,70.62,147.9,1563057044.0
107,khatanga,ru,54.23,54.0,0.0,7.85,71.98,102.47,1563057046.0
108,port elizabeth,za,51.8,100.0,1.0,4.7,-33.92,25.57,1563057047.0
109,tual,id,77.27,77.0,95.0,20.67,-5.67,132.75,1563057049.0
111,beira,mz,64.4,88.0,0.0,2.24,-19.84,34.84,1563057052.0
113,san patricio,mx,87.8,74.0,40.0,11.41,19.22,-104.7,1563057055.0
114,ivankiv,ua,61.0,63.0,67.0,4.47,50.93,29.9,1563057056.0
115,dresden,ca,91.99,45.0,40.0,5.82,42.6,-82.18,1563057058.0
116,fortuna,us,66.2,72.0,20.0,14.99,40.6,-124.16,1563057059.0
117,hasaki,jp,69.8,100.0,75.0,11.41,35.73,140.83,1563057061.0
118,padang,id,81.95,80.0,48.0,11.52,-0.92,100.36,1563057062.0
119,mansehra,pk,68.45,71.0,0.0,3.38,34.33,73.2,1563057064.0
120,ngunguru,nz,64.0,81.0,29.0,15.99,-35.62,174.5,1563057065.0
121,cap malheureux,mu,71.6,53.0,75.0,11.41,-19.98,57.61,1563057067.0
122,muros,es,66.99,93.0,20.0,16.11,42.77,-9.06,1563057068.0
123,sitka,us,89.01,42.0,0.0,3.0,37.17,-99.65,1563056944.0
128,tiksi,ru,47.21,92.0,100.0,12.44,71.64,128.87,1563057077.0
129,lebu,cl,53.87,81.0,79.0,16.4,-37.62,-73.65,1563057079.0
130,fuyang,cn,79.43,64.0,0.0,4.0,32.89,115.81,1563057080.0
